Libcell,Min_Delay,Avg_Delay,Max_Delay
XOR2_X4TN_A9PP84TL_C16,0.014,0.014,0.014
BUFH_X14N_A9PP84TSL_C14,0.009,0.012928355196770868,0.018
NAND2_X3N_A9PP84TL_C14,0.016,0.016,0.016
AOI21B_X1N_A9PP84TSL_C14,0.014,0.021636363636363634,0.031
NAND4_X4N_A9PP84TSL_C14,0.012,0.01413213703099517,0.022
NAND2_X4TN_A9PP84TSL_C14,0.009,0.009,0.009
INV_X10N_A9PP84TL_C14,0.012,0.012,0.012
INV_X2R_A9PP84TR_C14,0.011,0.012307692307692313,0.021
INV_X2R_A9PP84TR_C16,0.008,0.017558139534883707,0.056
BUF_X14N_A9PP84TSL_C14,0.013,0.01587490692479523,0.021
MX2_X8N_A9PP84TL_C14,0.020,0.02,0.020
NAND4_X3R_A9PP84TSL_C14,0.009,0.017307692307692316,0.028
NAND4_X3R_A9PP84TSL_C16,0.019,0.019,0.019
AOI21_X1P5N_A9PP84TL_C14,0.022,0.022,0.022
NOR2_X1F_A9PP84TR_C16,0.009,0.009,0.009
AND2_X2N_A9PP84TR_C14,0.021,0.021,0.021
BUFH_X12N_A9PP84TR_C14,0.009,0.009,0.009
AND2_X2N_A9PP84TR_C16,0.020,0.0235,0.027
BUFH_X12N_A9PP84TR_C16,0.021,0.021,0.021
INV_X1P5R_A9PP84TL_C16,0.026,0.026,0.026
PREICG_X8N_A9PP84TL_C14,0.050,0.05053333333333334,0.052
NAND2_X1F_A9PP84TR_C14,0.024,0.024,0.024
AO21A1AI2_X1P5N_A9PP84TSL_C14,0.023,0.023,0.023
INV_X24R_A9PP84TSL_C14,0.007,0.007,0.007
INV_X6F_A9PP84TL_C14,0.010,0.01,0.010
NAND2_X1F_A9PP84TR_C16,0.008,0.03870212765957448,0.079
BUFH_X6N_A9PP84TSL_C14,0.012,0.0144339752407155,0.021
INV_X8F_A9PP84TSL_C14,0.004,0.007339233038348126,0.015
NOR3_X3N_A9PP84TSL_C14,0.010,0.01,0.010
AOI211_X1N_A9PP84TSL_C14,0.015,0.018142857142857145,0.031
NAND2_X3F_A9PP84TSL_C14,0.008,0.011000000000000001,0.015
INV_X8F_A9PP84TSL_C16,0.009,0.012333333333333333,0.014
PREICG_X3N_A9PP84TL_C14,0.026,0.04530549898167015,0.089
PREICG_X3N_A9PP84TL_C16,0.029,0.0368,0.051
NAND3_X1N_A9PP84TL_C16,0.025,0.026500000000000003,0.028
INV_X12R_A9PP84TSL_C14,0.005,0.007462184873949586,0.013
PREICG_X16N_A9PP84TL_C14,0.013,0.020394329896907152,0.036
AOI22BB_X1N_A9PP84TL_C14,0.018,0.019999999999999997,0.022
MXT2_X2N_A9PP84TR_C14,0.031,0.031,0.031
PREICG_X16N_A9PP84TL_C16,0.018,0.032381294964028765,0.033
MXT2_X2N_A9PP84TR_C16,0.025,0.025500000000000002,0.026
INV_X12N_A9PP84TR_C14,0.005,0.006875,0.009
INV_X12N_A9PP84TR_C16,0.005,0.006918367346938781,0.007
XOR2_X2N_A9PP84TSL_C14,0.021,0.021,0.021
INV_X5N_A9PP84TL_C14,0.006,0.006,0.006
AOI22_X6R_A9PP84TSL_C14,0.010,0.010666666666666666,0.012
INV_X5N_A9PP84TL_C16,0.006,0.0116,0.032
INV_X6N_A9PP84TSL_C14,0.005,0.009114795918367311,0.036
BUF_X20N_A9PP84TL_C14,0.027,0.027,0.027
SDFFRPQH_X1N_A9PP84TL_C14,0.046,0.0465,0.047
NAND2_X1N_A9PP84TSL_C14,0.009,0.01664705882352941,0.090
INV_X6N_A9PP84TSL_C16,0.005,0.007,0.008
NAND2_X1N_A9PP84TSL_C16,0.024,0.0245,0.025
OAI211_X4N_A9PP84TL_C14,0.017,0.017,0.017
SDFFRPQH_X1N_A9PP84TL_C16,0.040,0.04,0.040
OAI211_X4N_A9PP84TL_C16,0.016,0.016,0.016
AOI211_X1P5N_A9PP84TL_C14,0.019,0.019,0.019
NOR2_X6R_A9PP84TSL_C14,0.014,0.014,0.014
OAI211_X1P5N_A9PP84TSL_C14,0.010,0.015782608695652182,0.022
INV_X1P5F_A9PP84TSL_C14,0.006,0.014628318584070791,0.061
INV_X1P5F_A9PP84TSL_C16,0.006,0.006,0.006
INV_X5R_A9PP84TSL_C14,0.007,0.010228070175438605,0.046
BUF_X14N_A9PP84TL_C14,0.014,0.014,0.014
INV_X5R_A9PP84TSL_C16,0.014,0.014,0.014
INV_X8F_A9PP84TR_C14,0.005,0.0058,0.007
NAND4_X4N_A9PP84TL_C16,0.022,0.022,0.022
BUF_X14N_A9PP84TL_C16,0.017,0.017003478260869582,0.019
AOI22_X6R_A9PP84TR_C14,0.013,0.0154,0.016
INV_X8F_A9PP84TR_C16,0.010,0.01,0.010
XOR2_X2TN_A9PP84TR_C14,0.010,0.012916666666666665,0.020
INV_X3F_A9PP84TR_C14,0.014,0.014,0.014
SDFFSQ_X2N_A9PP84TR_C14,0.041,0.04106666666666662,0.042
INVP_X1R_A9PP84TR_C14,0.033,0.03394117647058825,0.034
AOI22_X1R_A9PP84TR_C14,0.025,0.026500000000000003,0.028
INV_X3F_A9PP84TR_C16,0.012,0.0155,0.019
SDFFSQ_X2N_A9PP84TR_C16,0.070,0.07,0.070
AOI21_X6N_A9PP84TL_C14,0.028,0.028999999999999998,0.030
INVP_X1R_A9PP84TR_C16,0.012,0.03696296296296297,0.125
AOI22_X1R_A9PP84TR_C16,0.014,0.033166666666666664,0.047
NOR4_X2F_A9PP84TR_C14,0.021,0.021,0.021
NOR2XB_X1N_A9PP84TR_C16,0.040,0.04,0.040
SDFFXRPQ_X3N_A9PP84TSL_C14,0.015,0.014999999999999979,0.015
OAI22_X4R_A9PP84TR_C16,0.017,0.017,0.017
AO211_X1N_A9PP84TR_C16,0.031,0.031,0.031
NAND3BB_X2N_A9PP84TSL_C14,0.012,0.019731218697829445,0.026
BUF_X2N_A9PP84TL_C16,0.067,0.067,0.067
INV_X7N_A9PP84TR_C14,0.005,0.0065,0.011
INV_X7N_A9PP84TR_C16,0.006,0.03654545454545454,0.043
SDFFRPQ_X4N_A9PP84TSL_C14,0.011,0.010999999999999977,0.011
AOI21_X1N_A9PP84TL_C14,0.022,0.022,0.022
AOI21_X1N_A9PP84TL_C16,0.025,0.02925,0.034
DLY4_X4N_A9PP84TR_C16,0.048,0.08511864406779669,0.112
SDFFRPQH_X3N_A9PP84TR_C16,0.046,0.049,0.052
OAI21_X3N_A9PP84TSL_C14,0.012,0.012,0.012
INV_X2N_A9PP84TR_C14,0.008,0.029648351648351643,0.042
INV_X2N_A9PP84TR_C16,0.009,0.02184615384615385,0.034
BUF_X7N_A9PP84TSL_C14,0.013,0.016883011190233953,0.025
NOR3XXB_X2N_A9PP84TSL_C14,0.015,0.015000000000000005,0.015
INV_X10F_A9PP84TSL_C14,0.005,0.009106865284973854,0.016
BUF_X16N_A9PP84TR_C14,0.011,0.01421212121212122,0.017
NOR4_X1N_A9PP84TR_C16,0.030,0.0385,0.050
BUF_X16N_A9PP84TR_C16,0.011,0.018,0.024
OAI211_X1N_A9PP84TR_C16,0.019,0.04308333333333334,0.064
delay100x1,0.111,0.13240740740740733,0.205
SDFFQ_X2N_A9PP84TL_C16,0.031,0.031,0.031
NAND2_X2R_A9PP84TL_C14,0.008,0.008,0.008
NOR2B_X1N_A9PP84TR_C14,0.024,0.024956521739130443,0.046
INV_X20N_A9PP84TSL_C14,0.005,0.009999999999999998,0.014
NAND2_X2R_A9PP84TL_C16,0.011,0.011,0.011
NOR2B_X1N_A9PP84TR_C16,0.006,0.028166666666666652,0.044
INV_X1P5N_A9PP84TL_C16,0.021,0.06420000000000001,0.093
NAND4_X1N_A9PP84TR_C16,0.031,0.03930769230769231,0.049
SDFFXSQ_X3N_A9PP84TSL_C16,0.027,0.027176470588235305,0.030
BUFH_X3N_A9PP84TL_C14,0.010,0.01,0.010
OR2_X2N_A9PP84TR_C16,0.020,0.0322,0.042
BUF_X4N_A9PP84TR_C14,0.015,0.023805555555555566,0.037
SDFFRPQ_X1N_A9PP84TL_C14,0.037,0.03728571428571429,0.038
NOR2_X4F_A9PP84TSL_C14,0.008,0.009000000000000001,0.012
BUF_X4N_A9PP84TR_C16,0.014,0.027160000000000014,0.029
BUFH_X1N_A9PP84TSL_C14,0.023,0.025249999999999998,0.027
INV_X3F_A9PP84TSL_C14,0.007,0.010051020408163273,0.015
NAND2_X1TN_A9PP84TSL_C14,0.015,0.015,0.015
INV_X3F_A9PP84TSL_C16,0.015,0.015,0.015
AOI21_X3N_A9PP84TR_C14,0.012,0.024749999999999998,0.064
NAND3_X2R_A9PP84TSL_C14,0.009,0.009,0.009
AOI22_X2N_A9PP84TSL_C14,0.011,0.01478571428571429,0.027
PREICG_X7R_A9PP84TL_C14,0.020,0.03162666666666666,0.038
PREICG_X7R_A9PP84TL_C16,0.020,0.02,0.020
NOR2_X4R_A9PP84TR_C14,0.013,0.013,0.013
AO21B_X1N_A9PP84TSL_C14,0.009,0.015,0.020
AO21B_X1N_A9PP84TSL_C16,0.022,0.024,0.029
AOI22_X1R_A9PP84TSL_C14,0.010,0.015281250000000008,0.024
OAI21_X1N_A9PP84TR_C16,0.025,0.028333333333333335,0.033
AOI22_X2F_A9PP84TR_C14,0.016,0.0184,0.022
INV_X16R_A9PP84TR_C14,0.005,0.005333333333333333,0.006
NOR2_X2N_A9PP84TSL_C14,0.006,0.008754385964912287,0.014
PREICG_X2R_A9PP84TL_C14,0.024,0.043799999999999985,0.056
NAND2_X6R_A9PP84TSL_C14,0.006,0.011954545454545457,0.020
NAND2_X4R_A9PP84TR_C14,0.009,0.0094,0.010
PREICG_X2R_A9PP84TL_C16,0.028,0.04580769230769233,0.058
AOI21_X6N_A9PP84TSL_C14,0.009,0.018000000000000006,0.029
AOI21_X6N_A9PP84TSL_C16,0.030,0.03,0.030
BUFH_X5N_A9PP84TR_C14,0.014,0.014,0.014
AOI22_X6N_A9PP84TR_C14,0.014,0.014000000000000004,0.014
NOR2_X1R_A9PP84TSL_C14,0.007,0.009600000000000001,0.015
BUFH_X5N_A9PP84TR_C16,0.026,0.026,0.026
NOR2_X1R_A9PP84TSL_C16,0.008,0.008000000000000002,0.008
XOR2_X1N_A9PP84TR_C16,0.006,0.009382352941176475,0.015
NAND2_X1P5R_A9PP84TL_C14,0.004,0.004566343042071173,0.025
INV_X4R_A9PP84TL_C14,0.008,0.008,0.008
SDFFXRPQ_X2N_A9PP84TR_C14,0.036,0.03600000000000001,0.036
NAND2_X1P5R_A9PP84TL_C16,0.015,0.015,0.015
PREICG_X10R_A9PP84TL_C14,0.014,0.017486238532110076,0.037
INV_X4R_A9PP84TL_C16,0.006,0.006,0.006
NOR2XB_X1N_A9PP84TSL_C14,0.009,0.013363636363636371,0.017
SDFFXRPQ_X2N_A9PP84TR_C16,0.033,0.03760000000000002,0.048
PREICG_X10R_A9PP84TL_C16,0.045,0.045,0.045
NOR2XB_X1N_A9PP84TSL_C16,0.031,0.036750000000000005,0.045
SDFFRPQ_X3N_A9PP84TR_C16,0.046,0.05575000000000001,0.085
INVP_X1N_A9PP84TR_C14,0.014,0.024130434782608703,0.064
AOI22_X1N_A9PP84TR_C14,0.026,0.026,0.026
AOI22_X1N_A9PP84TR_C16,0.026,0.026,0.026
INVP_X1N_A9PP84TR_C16,0.014,0.033666666666666664,0.075
AO211_X1N_A9PP84TSL_C14,0.020,0.022699999999999994,0.027
BUFH_X14N_A9PP84TL_C14,0.011,0.011,0.011
AOI211_X1N_A9PP84TL_C14,0.027,0.027,0.027
MXT2_X4N_A9PP84TSL_C14,0.015,0.01554545454545455,0.017
AOI21B_X2N_A9PP84TSL_C14,0.013,0.02057142857142857,0.026
MXT2_X4N_A9PP84TSL_C16,0.018,0.018,0.018
INV_X10F_A9PP84TL_C14,0.004,0.004,0.004
INV_X16F_A9PP84TSL_C14,0.006,0.009911111111111117,0.012
INV_X10F_A9PP84TL_C16,0.006,0.006,0.006
AOI31_X4N_A9PP84TL_C14,0.010,0.01,0.010
NOR2_X1P5F_A9PP84TSL_C14,0.007,0.009,0.012
MXT2_X4N_A9PP84TL_C14,0.014,0.021287392325763387,0.036
NOR3_X6F_A9PP84TL_C14,0.015,0.0165,0.018
NAND4_X4R_A9PP84TSL_C14,0.009,0.0168840579710145,0.029
MXT2_X4N_A9PP84TL_C16,0.019,0.01925,0.020
BUF_X2N_A9PP84TSL_C14,0.015,0.01575,0.018
INV_X14N_A9PP84TL_C14,0.011,0.011,0.011
INV_X6R_A9PP84TR_C14,0.017,0.017,0.017
NAND2_X2N_A9PP84TL_C14,0.020,0.02,0.020
NAND2_X2N_A9PP84TL_C16,0.020,0.0205,0.021
INV_X6R_A9PP84TR_C16,0.005,0.008,0.011
OA22_X2N_A9PP84TSL_C14,0.023,0.02366666666666667,0.024
INV_X14N_A9PP84TSL_C14,0.005,0.0054696969696969725,0.014
AO21B_X2N_A9PP84TL_C14,0.015,0.020999999999999998,0.023
BUFH_X7N_A9PP84TSL_C14,0.010,0.01365952309085494,0.025
NOR3_X4N_A9PP84TSL_C14,0.011,0.011,0.011
AO21B_X2N_A9PP84TL_C16,0.015,0.0165,0.018
BUFH_X16N_A9PP84TR_C14,0.010,0.011142857142857144,0.014
AOI211_X2N_A9PP84TSL_C14,0.010,0.014190476190476194,0.019
AO21A1AI2_X2N_A9PP84TR_C16,0.023,0.023,0.023
NOR2_X4TN_A9PP84TSL_C14,0.010,0.01,0.010
NOR3_X1P5F_A9PP84TSL_C14,0.006,0.0133696369636963,0.025
AND2_X1N_A9PP84TR_C14,0.027,0.027,0.027
AND2_X1N_A9PP84TR_C16,0.015,0.023330357142857146,0.043
INV_X12F_A9PP84TR_C14,0.006,0.006888888888888889,0.010
INV_X12F_A9PP84TR_C16,0.005,0.005666666666666667,0.007
PREICG_X7N_A9PP84TL_C14,0.017,0.040074626865671585,0.053
OR3_X2N_A9PP84TSL_C14,0.028,0.028,0.028
INV_X5F_A9PP84TL_C14,0.013,0.013,0.013
PREICG_X7N_A9PP84TL_C16,0.022,0.040400000000000005,0.042
INV_X5F_A9PP84TL_C16,0.005,0.0115,0.012
DLY2_X2N_A9PP84TR_C16,0.017,0.023157894736842113,0.035
DFFRPQ_X3N_A9PP84TR_C16,0.033,0.033,0.033
MXT2_X6N_A9PP84TR_C14,0.020,0.021416666666666667,0.024
INV_X7N_A9PP84TSL_C14,0.006,0.009428571428571434,0.014
NAND2_X2N_A9PP84TSL_C14,0.009,0.01031034482758621,0.015
MXT2_X6N_A9PP84TR_C16,0.025,0.025,0.025
NAND2B_X1N_A9PP84TSL_C14,0.015,0.0162,0.017
NAND2_X2N_A9PP84TSL_C16,0.014,0.016,0.017
AOI2XB1_X2N_A9PP84TSL_C14,0.008,0.008,0.008
PREICG_X2N_A9PP84TL_C14,0.010,0.038150039277297494,0.095
AOI31_X1N_A9PP84TR_C16,0.010,0.02877777777777779,0.046
PREICG_X2N_A9PP84TL_C16,0.028,0.048329113924050676,0.083
OA21A1OI2_X1N_A9PP84TR_C14,0.045,0.045,0.045
AOI22_X1P5F_A9PP84TSL_C14,0.022,0.022,0.022
OA21A1OI2_X1N_A9PP84TR_C16,0.025,0.033,0.039
XNOR2_X4TN_A9PP84TR_C16,0.015,0.015,0.015
MXT2_X1N_A9PP84TR_C14,0.030,0.03,0.030
INV_X6R_A9PP84TSL_C14,0.004,0.006411736641221418,0.043
NAND2_X1R_A9PP84TSL_C14,0.009,0.0128421052631579,0.025
MXT2_X1N_A9PP84TR_C16,0.016,0.03523809523809525,0.045
NAND2_X1R_A9PP84TSL_C16,0.017,0.018000000000000002,0.019
AOI21_X1N_A9PP84TSL_C14,0.011,0.018560000000000007,0.036
INV_X4N_A9PP84TL_C14,0.004,0.028100000000000014,0.044
AOI21_X1N_A9PP84TSL_C16,0.020,0.02225,0.027
OAI31_X2N_A9PP84TSL_C14,0.022,0.022,0.022
INV_X4N_A9PP84TL_C16,0.007,0.007,0.007
PREICG_X10N_A9PP84TL_C14,0.020,0.02241860465116279,0.033
AO21_X1N_A9PP84TR_C16,0.009,0.02089285714285715,0.033
OAI211_X3N_A9PP84TL_C14,0.016,0.016,0.016
NAND2_X6TN_A9PP84TSL_C14,0.009,0.013500000000000007,0.016
OAI211_X3N_A9PP84TL_C16,0.016,0.016,0.016
SDFFXRPQ_X4N_A9PP84TSL_C14,0.014,0.027861702127659572,0.051
SDFFXRPQ_X4N_A9PP84TSL_C16,0.021,0.047375,0.063
NAND4_X3N_A9PP84TL_C14,0.020,0.02,0.020
MX2_X4N_A9PP84TR_C14,0.013,0.01639344262295083,0.027
INV_X7F_A9PP84TR_C14,0.008,0.008,0.008
MX2_X4N_A9PP84TR_C16,0.019,0.019,0.019
BUF_X32N_A9PP84TR_C14,0.015,0.0165,0.018
BUFH_X10N_A9PP84TSL_C14,0.009,0.013928880643166948,0.021
BUF_X32N_A9PP84TR_C16,0.016,0.0259814814814815,0.032
OAI21_X4N_A9PP84TSL_C14,0.009,0.012666666666666665,0.015
INV_X2F_A9PP84TR_C14,0.014,0.0186875,0.019
NOR3BB_X2N_A9PP84TL_C14,0.022,0.022,0.022
BUF_X8N_A9PP84TSL_C14,0.019,0.018999999999999996,0.019
NOR3_X1F_A9PP84TSL_C14,0.011,0.015333333333333332,0.023
BUF_X1N_A9PP84TL_C16,0.017,0.0793809523809524,0.102
INV_X6N_A9PP84TR_C14,0.005,0.03563414634146342,0.049
BUF_X10N_A9PP84TSL_C14,0.013,0.016181854199683144,0.020
NOR2_X6R_A9PP84TL_C14,0.019,0.019,0.019
INV_X6N_A9PP84TR_C16,0.008,0.010150000000000001,0.016
NOR2_X6R_A9PP84TL_C16,0.052,0.052,0.052
SDFFXSQ_X4N_A9PP84TSL_C14,0.038,0.0485,0.059
SDFFRPQH_X2N_A9PP84TR_C14,0.048,0.048,0.048
SDFFXSQ_X4N_A9PP84TSL_C16,0.026,0.02720792079207923,0.060
NAND3_X4N_A9PP84TSL_C14,0.008,0.010499999999999999,0.013
NAND2_X6R_A9PP84TL_C14,0.007,0.007333333333333333,0.008
MX2_X1N_A9PP84TSL_C16,0.023,0.023,0.023
INV_X20R_A9PP84TSL_C14,0.005,0.007071666666666709,0.009
BUFH_X2N_A9PP84TSL_C14,0.010,0.020015188834154648,0.031
INV_X4F_A9PP84TSL_C14,0.005,0.009566338134950546,0.015
BUFH_X2N_A9PP84TSL_C16,0.012,0.012950000000000007,0.013
BUFH_X7N_A9PP84TL_C14,0.008,0.013333333333333334,0.017
SDFFXRPQ_X4N_A9PP84TL_C14,0.030,0.03,0.030
NAND2_X1R_A9PP84TL_C16,0.018,0.018,0.018
AOI22_X3N_A9PP84TSL_C14,0.012,0.0142,0.016
SDFFXRPQ_X4N_A9PP84TL_C16,0.075,0.078,0.081
BUF_X10N_A9PP84TR_C14,0.014,0.014076923076923086,0.015
